,city,city_lat,city_lon,city_temp,city_hum,city_cloud,city_wind,city_country,city_date
195,takoradi,4.88,-1.76,84.04,69,85,8.14,GH,1604924874
196,vostok,46.49,135.88,8.06,95,99,5.86,RU,1604924874
197,mount isa,-20.73,139.5,84.2,16,0,2.24,AU,1604924875
198,cape canaveral,28.41,-80.6,77.0,88,20,25.28,US,1604924875
199,biltine,14.53,20.92,92.84,17,24,4.63,TD,1604924875
200,tual,-5.67,132.75,84.65,76,89,14.14,ID,1604924876
201,shingu,33.73,135.98,49.93,69,0,6.29,JP,1604924876
202,tsabong,-26.02,22.4,87.04,25,50,5.06,BW,1604924876
203,somerset east,-32.72,25.59,53.38,75,100,13.78,ZA,1604924877
204,bundaberg,-24.85,152.35,68.0,63,81,9.17,AU,1604924877
205,hervey bay,-25.3,152.85,68.0,67,99,3.0,AU,1604924877
206,hamilton,39.18,-84.53,57.2,71,1,5.82,US,1604924878
207,murgab,37.5,61.97,59.0,44,0,9.17,TM,1604924878
208,beringovskiy,63.05,179.32,33.6,92,100,23.85,RU,1604924879
209,asbestovskiy,57.76,61.4,32.67,90,96,11.21,RU,1604924879
210,vila,42.03,-8.16,57.0,89,71,6.44,PT,1604924879
211,milos,36.75,24.43,68.0,64,20,21.92,GR,1604924880
212,lorengau,-2.02,147.27,81.79,74,98,3.0,PG,1604924880
213,banepa,27.63,85.52,64.4,55,20,3.36,NP,1604924811
214,cerignola,41.26,15.9,68.0,60,5,17.22,IT,1604924880
215,savinskiy,62.93,40.14,32.54,94,100,7.7,RU,1604924881
216,uribia,11.71,-72.27,79.72,78,26,1.54,CO,1604924881
217,hobyo,5.35,48.53,83.35,74,43,22.68,SO,1604924882
218,east london,-33.02,27.91,62.6,67,20,25.28,ZA,1604924882
219,port lincoln,-34.73,135.87,73.74,42,0,20.4,AU,1604924882
220,am timan,11.03,20.28,98.62,20,14,1.86,TD,1604924883
221,baturite,-4.33,-38.88,83.48,59,52,8.55,BR,1604924829
222,skagen,57.72,10.58,48.2,93,90,9.17,DK,1604924884
223,sao joao da barra,-21.64,-41.05,77.0,88,90,3.33,BR,1604924619
224,lebu,-37.62,-73.65,53.74,86,66,14.16,CL,1604924884
225,doka,13.52,35.77,93.74,18,48,7.34,SD,1604924885
226,phuket,8.0,98.25,82.99,83,20,5.82,TH,1604924874
227,palmer,42.16,-72.33,44.01,81,1,1.66,US,1604924885
228,saskylakh,71.92,114.08,2.93,89,97,26.44,RU,1604924886
229,darnah,32.77,22.64,67.89,65,24,5.32,LY,1604924886
230,the valley,18.22,-63.06,84.2,83,20,9.17,AI,1604924668
231,morwell,-38.23,146.4,55.99,87,31,2.44,AU,1604924887
232,amethi,26.15,81.82,75.36,27,0,3.51,IN,1604924887
233,paamiut,61.99,-49.67,21.31,89,100,33.15,GL,1604924888
234,leningradskiy,69.38,178.42,18.46,93,97,7.07,RU,1604924888
235,tateyama,34.98,139.87,55.99,26,51,5.99,JP,1604924888
236,penedo,-10.29,-36.59,83.48,67,50,12.53,BR,1604924889
237,port elizabeth,-33.92,25.57,59.0,87,40,19.46,ZA,1604924889
238,balikpapan,-1.27,116.83,86.0,74,20,5.82,ID,1604924889
239,kalmunai,7.42,81.82,82.27,78,13,9.19,LK,1604924890
240,kulhudhuffushi,6.62,73.07,84.52,73,77,11.01,MV,1604924890
241,rocha,-34.48,-54.33,66.33,71,100,8.59,UY,1604924890
242,kruisfontein,-34.0,24.73,57.0,80,98,5.01,ZA,1604924891
243,chapeltown,53.47,-1.47,53.01,99,99,5.61,GB,1604924892
244,cuenca,-2.88,-78.98,48.2,100,100,2.24,EC,1604924892
245,nantucket,41.28,-70.1,51.8,93,1,5.82,US,1604924823
246,dickinson,29.46,-95.05,72.0,94,90,6.93,US,1604924738
247,mao,39.89,4.27,68.0,82,20,4.7,ES,1604924893
248,kilindoni,-7.91,39.67,81.63,75,45,13.85,TZ,1604924893
249,narsaq,60.92,-46.05,28.4,86,75,0.6,GL,1604924894
250,port blair,11.67,92.75,81.61,79,0,10.18,IN,1604924894
251,nouadhibou,20.93,-17.03,78.8,47,0,20.8,MR,1604924894
252,vilyuysk,63.76,121.62,-5.44,89,16,7.34,RU,1604924895
253,sao filipe,14.9,-24.5,82.87,66,79,9.33,CV,1604924895
254,pingzhuang,42.04,119.29,36.46,72,29,0.74,CN,1604924895
255,saint-philippe,-21.36,55.77,78.8,74,75,24.16,RE,1604924896
256,tezu,27.92,96.17,70.52,50,0,3.96,IN,1604924896
257,vardo,70.37,31.11,33.8,80,40,25.28,NO,1604924896
258,povenets,62.85,34.83,36.39,93,92,16.67,RU,1604924897
259,bay-khaak,51.17,94.5,32.54,87,81,3.29,RU,1604924897
260,viedma,-40.81,-63.0,64.0,86,100,1.99,AR,1604924897
261,kamina,-8.74,24.99,85.51,53,38,3.31,CD,1604924898
262,mocuba,-16.84,36.99,107.98,13,52,7.65,MZ,1604924898
263,maltahohe,-24.83,16.98,82.29,20,44,8.1,NA,1604924899
264,mabamba,-3.6,30.5,79.47,59,85,6.13,TZ,1604924899
265,ambulu,-8.35,113.61,79.27,81,93,4.47,ID,1604924899
266,clyde river,70.47,-68.59,-2.2,77,1,17.22,CA,1604924900
267,fort nelson,58.81,-122.7,14.0,85,90,2.24,CA,1604924900
268,melong,5.12,9.96,80.4,67,24,1.21,CM,1604924900
269,port-gentil,-0.72,8.78,84.2,70,40,10.29,GA,1604924901
270,coihaique,-45.58,-72.07,59.0,62,0,6.93,CL,1604924901
271,zyryanka,65.75,150.85,-6.47,91,100,8.08,RU,1604924901
272,pemangkat,1.17,108.97,76.6,88,100,9.28,ID,1604924902
273,ozernovskiy,51.5,156.52,35.13,84,98,11.39,RU,1604924902
274,keti bandar,24.14,67.45,83.48,43,0,11.65,PK,1604924902
275,perigueux,45.18,0.72,63.0,81,58,5.06,FR,1604924731
276,batagay-alyta,67.8,130.41,-16.89,85,0,2.24,RU,1604924903
277,berlevag,70.86,29.09,37.4,69,40,34.45,NO,1604924903
278,hualmay,-11.1,-77.61,61.92,80,86,5.19,PE,1604924904
279,tuatapere,-46.13,167.68,48.0,88,5,3.0,NZ,1604924904
280,bengkulu,-3.8,102.27,78.33,83,100,1.66,ID,1604924905
281,lodwar,3.12,35.6,96.06,26,44,19.19,KE,1604924905
282,baghdad,33.34,44.4,71.6,60,90,19.46,IQ,1604924727
283,zaraza,9.35,-65.32,77.32,92,54,3.47,VE,1604924906
284,kislang,46.96,18.39,52.0,62,0,3.0,HU,1604924906
285,siena,43.22,11.4,69.01,60,6,1.01,IT,1604924906
286,maues,-3.38,-57.72,81.37,86,98,0.63,BR,1604924818
287,tokonou,9.65,-9.78,91.51,35,25,1.66,GN,1604924907
288,januaria,-15.48,-44.37,81.81,64,88,4.76,BR,1604924907
289,launceston,-41.45,147.17,54.0,87,48,9.17,AU,1604924908
290,maumere,-8.62,122.21,82.81,71,98,7.34,ID,1604924908
291,ruidoso,33.33,-105.67,50.0,57,75,19.46,US,1604924908
292,gamba,-2.65,10.0,76.37,89,100,10.02,GA,1604924909
293,kasongo-lunda,-6.47,16.82,86.4,64,100,4.63,CD,1604924909
294,uddevalla,58.35,11.94,50.0,76,75,5.82,SE,1604924909
295,bethel,41.37,-73.41,46.4,93,1,2.44,US,1604924626
296,neiafu,-18.65,-173.98,77.81,79,19,12.95,TO,1604924910
297,amapa,1.0,-52.0,81.81,65,68,4.52,BR,1604924910
298,namibe,-15.2,12.15,78.8,69,20,18.34,AO,1604924911
299,morondava,-20.28,44.28,84.6,66,98,16.11,MG,1604924911
300,tigil,57.8,158.67,20.08,91,20,2.13,RU,1604924912
301,roald,62.58,6.13,48.2,81,0,8.05,NO,1604924912
302,wairoa,-39.03,177.37,50.0,98,93,4.03,NZ,1604924912
303,farafangana,-22.82,47.83,79.05,64,3,13.38,MG,1604924913
304,songea,-10.68,35.65,86.0,33,20,12.75,TZ,1604924913
305,qasigiannguit,68.82,-51.19,15.8,66,75,5.82,GL,1604924913
306,motema,8.6,-11.03,86.77,55,85,1.45,SL,1604924914
307,port macquarie,-31.43,152.92,62.01,74,55,0.02,AU,1604924914
308,matagami,49.75,-77.63,48.2,93,1,9.17,CA,1604924914
309,saumur,47.33,-0.25,64.0,77,90,6.93,FR,1604924915
310,kaitangata,-46.28,169.85,52.0,74,9,0.83,NZ,1604924915
311,kalemie,-5.95,29.19,83.7,52,100,5.41,CD,1604924915
312,coquimbo,-29.95,-71.34,55.4,87,90,3.36,CL,1604924916
313,havre-saint-pierre,50.23,-63.6,30.2,92,90,5.82,CA,1604924916
314,ambon,-3.7,128.18,79.0,14,94,6.02,ID,1604924916
315,key west,24.56,-81.78,82.4,94,90,23.04,US,1604924770
316,rochegda,62.8,43.25,31.84,97,100,9.53,RU,1604924917
317,altamira,-3.2,-52.21,82.4,78,75,8.05,BR,1604924918
318,noormarkku,61.59,21.87,44.6,75,75,10.29,FI,1604924918
319,parainen,60.31,22.3,46.0,81,75,9.17,FI,1604924918
320,sumbe,-11.21,13.84,84.2,80,75,6.93,AO,1604924918
321,halifax,44.65,-63.57,48.2,93,90,12.75,CA,1604924733
322,lakes entrance,-37.88,147.98,55.99,92,0,3.31,AU,1604924919
323,songjianghe,42.19,127.48,19.94,83,14,3.94,CN,1604924920
324,gravdal,68.12,13.5,39.2,64,75,12.75,NO,1604924920
325,leninskoye,41.76,69.39,51.8,57,0,2.24,KZ,1604924920
326,nhulunbuy,-12.23,136.77,82.4,74,76,8.05,AU,1604924921
327,pangnirtung,66.15,-65.71,14.0,66,75,2.24,CA,1604924921
328,gazanjyk,39.24,55.52,60.31,32,0,4.27,TM,1604924921
329,nikolayevka,53.13,47.2,36.72,80,28,10.07,RU,1604924922
330,kaura namoda,12.59,6.58,89.56,16,13,10.36,NG,1604924922
331,mitsamiouli,-11.38,43.28,81.73,71,90,10.18,KM,1604924922
332,conceicao do araguaia,-8.26,-49.26,85.62,70,57,1.48,BR,1604924923
333,jaisalmer,26.91,70.92,84.78,14,0,4.47,IN,1604924923
334,atascadero,35.49,-120.67,46.0,86,1,3.36,US,1604924924
335,cabo san lucas,22.89,-109.91,70.0,81,1,1.99,MX,1604924706
336,tamisan,6.84,126.3,80.47,80,76,2.86,PH,1604924924
337,russkaya polyana,49.42,31.92,48.27,66,100,4.45,UA,1604924925
338,boyolangu,-8.12,111.89,78.39,82,97,5.77,ID,1604924925
339,shakawe,-18.37,21.85,103.41,13,7,4.47,BW,1604924925
340,dalvik,65.97,-18.53,37.4,73,90,5.82,IS,1604924925
341,the pas,53.83,-101.25,12.2,85,90,20.8,CA,1604924926
342,khvorostyanka,52.61,48.96,38.64,74,17,8.68,RU,1604924926
343,adrar,20.5,-10.07,91.51,11,51,12.57,MR,1604924927
344,kovdor,67.57,30.48,32.97,95,86,10.07,RU,1604924927
345,ponta delgada,37.73,-25.67,66.2,55,20,12.75,PT,1604924927
346,lewistown,40.6,-77.57,39.2,100,1,0.54,US,1604924928
347,neuquen,-38.95,-68.06,64.4,72,20,3.36,AR,1604924928
348,balaipungut,1.05,101.28,82.4,74,40,4.7,ID,1604924818
349,dauriya,49.93,116.87,20.75,98,67,2.26,RU,1604924929
350,mareeba,-17.0,145.43,78.8,65,90,8.05,AU,1604924929
351,senador jose porfirio,-2.59,-51.95,81.12,74,61,3.69,BR,1604924929
